Alça preformada para cabo de aluminio CA e CAA4AWG com dois fios,un,96,12
Cabo flexivel 1.5mm² branco ,pc,21,2.5
Cabo flexivel 2.5mm² preto 1kv (bobina),m,800,3.0
CABO DE COBRE ISOLADO 6.00MM² BRANCO (BOBINA),m,5000,5.0
Cabo flexivel 6.0mm² 750v branco (bobina),m,570,5.0
Cabo flexivel 6.0mm² 750v azul (bobina),m,709,5.0
Cabo flexivel 6.0mm² 750v verde (bobina),m,166,5.0
CABO DE COBRE ISOLADO 6.00MM² AZUL (BOBINA),m,2200,5.0
CABO DE COBRE ISOLADO 6.00MM² AZUL (BOBINA),m,2992,5.0
Cabo flexivel 10.0mm² 750v preto (bobina),m,1199,7.5
Cabo flexivel 10.0mm² 750v azul (bobina),m,300,7.5
Cabo flexivel 10.0mm² 750v azul (bobina),m,500,7.5
Cabo flexivel 16.0mm² 750v verde PC 100m,m,100,9.0
Cabo flexivel 16.0mm² 750v preto ,m,188,9.0
Cabo flexivel 16.0mm² 1kv preto (bobina),m,234,9.0
Cabo flexivel 16.0mm² 750v azul (bobina),m,340,9.0
CABO DE COBRE ISOLADO 25.00MM² PRETO,m,41,17.0
CABO DE COBRE ISOLADO 25.00MM² PRETO,m,41,17.0
CABO DE COBRE ISOLADO 25.00MM² PRETO,m,41,17.0
CABO DE COBRE ISOLADO 25.00MM² PRETO,m,41,17.0
Cabo flexivel 35.0mm² RL 100m ,m,40,22.0
